year,pred64,pred85,pred105,pred125,temperature
1880,0,0,0,0,-0.1148
1881,0.002204724,0.002204724,0.002204724,0.002204724,-0.0628
1882,-0.004409449,-0.004409449,-0.004409449,-0.004409449,-0.0648
1883,-0.002322835,-0.002322835,-0.002322835,-0.002322835,-0.1424
1884,0.005905512,0.005905512,0.005905512,0.005905512,-0.2009
1885,0.005314961,0.005314961,0.005314961,0.005314961,-0.2125
1886,0.004370079,0.004370079,0.004370079,0.004370079,-0.2003
1887,0.002165354,0.002165354,0.002165354,0.002165354,-0.2489
1888,0.002992126,0.002992126,0.002992126,0.002992126,-0.1471
1889,0.003622047,0.003622047,0.003622047,0.003622047,-0.0982
1890,0.004409449,0.004409449,0.004409449,0.004409449,-0.322
1891,0.003740157,0.003740157,0.003740157,0.003740157,-0.2532
1892,0.005,0.005,0.005,0.005,-0.3062
1893,0.006850394,0.006850394,0.006850394,0.006850394,-0.3212
1894,0.003031496,0.003031496,0.003031496,0.003031496,-0.2808
1895,0.007677165,0.007677165,0.007677165,0.007677165,-0.229
1896,0.004685039,0.004685039,0.004685039,0.004685039,-0.0974
1897,0.006732283,0.006732283,0.006732283,0.006732283,-0.1224
1898,0.010433071,0.010433071,0.010433071,0.010433071,-0.2546
1899,0.013385827,0.013385827,0.013385827,0.013385827,-0.1173
1900,0.011259843,0.011259843,0.011259843,0.011259843,-0.0679
1901,0.011102362,0.011102362,0.011102362,0.011102362,-0.1417
1902,0.012913386,0.012913386,0.012913386,0.012913386,-0.2463
1903,0.016062992,0.016062992,0.016062992,0.016062992,-0.3369
1904,0.012007874,0.012007874,0.012007874,0.012007874,-0.4194
1905,0.00984252,0.00984252,0.00984252,0.00984252,-0.2931
1906,0.012519685,0.012519685,0.012519685,0.012519685,-0.2174
1907,0.011968504,0.011968504,0.011968504,0.011968504,-0.3706
1908,0.010984252,0.010984252,0.010984252,0.010984252,-0.4396
1909,0.012755906,0.012755906,0.012755906,0.012755906,-0.4261
1910,0.012716535,0.012716535,0.012716535,0.012716535,-0.3789
1911,0.015984252,0.015984252,0.015984252,0.015984252,-0.4332
1912,0.01476378,0.01476378,0.01476378,0.01476378,-0.3288
1913,0.015472441,0.015472441,0.015472441,0.015472441,-0.3162
1914,0.017952756,0.017952756,0.017952756,0.017952756,-0.1395
1915,0.021062992,0.021062992,0.021062992,0.021062992,-0.0693
